,timestamp,bytesRead,bytesWritten,operationRead,operationWrite,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,event_type,event_message
0,1665402815.0,6105,6,17,1,0,0,0,17,0,0,0,1,notice,Job starting
1,1665402820.0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1665402825.0,424676211,0,411,0,0,360,0,51,0,0,0,0,custom,start load param1
3,1665402830.0,233832448,0,223,0,0,160,0,63,0,0,0,0,,
4,1665402835.0,230686720,0,220,0,0,120,0,100,0,0,0,0,,
5,1665402840.0,231735296,0,221,0,0,120,0,101,0,0,0,0,,
6,1665402845.0,217055232,0,207,0,0,120,0,87,0,0,0,0,,
7,1665402850.0,228589568,0,218,0,0,120,0,98,0,0,0,0,,
8,1665402855.0,208666624,0,199,0,0,120,0,79,0,0,0,0,,
9,1665402860.0,218103808,0,208,0,0,120,0,88,0,0,0,0,,
10,1665402865.0,205520896,0,196,0,0,120,0,76,0,0,0,0,,
11,1665402870.0,222298112,0,212,0,0,120,0,92,0,0,0,0,,
12,1665402875.0,223346688,0,213,0,0,120,0,93,0,0,0,0,,
13,1665402880.0,214958080,0,205,0,0,120,0,85,0,0,0,0,,
14,1665402885.0,208667335,0,201,0,0,120,0,81,0,0,0,0,custom,end load param1
15,1665402890.0,77596046,0,78,0,0,40,0,38,0,0,0,0,custom,end load param1
16,1665402895.0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,1665402900.0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,1665402905.0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,1665402910.0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,1665402915.0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,1665402920.0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,1665402925.0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,1665402930.0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,1665402935.0,0,0,0,0,0,0,0,0,0,0,0,0,,
25,1665402940.0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,1665402945.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,start load param2
26,1665402945.0,5242880997,0,1004,0,0,1000,0,4,0,0,0,0,custom,end param2
27,1665402950.0,10485761994,0,2008,0,0,2000,0,8,0,0,0,0,custom,start load param2
27,1665402950.0,10485761994,0,2008,0,0,2000,0,8,0,0,0,0,custom,end param2
28,1665402955.0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,1665402960.0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,1665402965.0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,1665402970.0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,1665402975.0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,1665402980.0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,1665402985.0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,1665402990.0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,1665402995.0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,1665403000.0,0,0,0,0,0,0,0,0,0,0,0,0,,
38,1665403005.0,1677721891,0,162,0,0,160,0,2,0,0,0,0,custom,start load param3
39,1665403010.0,26539459194,0,2539,0,0,2520,0,19,0,0,0,0,custom,end param3
39,1665403010.0,26539459194,0,2539,0,0,2520,0,19,0,0,0,0,custom,start load param3
40,1665403015.0,3240099866,0,311,0,0,280,0,31,0,0,0,0,custom,end param3
41,1665403020.0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,1665403025.0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,1665403030.0,0,0,0,0,0,0,0,0,0,0,0,0,,
44,1665403035.0,0,0,0,0,0,0,0,0,0,0,0,0,,
45,1665403040.0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,1665403045.0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,1665403050.0,0,0,0,0,0,0,0,0,0,0,0,0,,
48,1665403055.0,0,307200000,0,3000,0,0,0,0,0,3000,0,0,custom,start checkpoint small
49,1665403060.0,126,0,3,0,0,0,0,3,0,0,0,0,custom,end checkpoint small
50,1665403065.0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,1665403070.0,0,0,0,0,0,0,0,0,0,0,0,0,,
52,1665403075.0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,1665403080.0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,1665403085.0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,1665403090.0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,1665403095.0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,1665403100.0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,1665403105.0,0,0,0,0,0,0,0,0,0,0,0,0,,
59,1665403110.0,0,0,0,0,0,0,0,0,0,0,0,0,,
60,1665403115.0,0,0,0,0,0,0,0,0,0,0,0,0,,
61,1665403120.0,0,0,0,0,0,0,0,0,0,0,0,0,custom,start checkpoint medium
62,1665403125.0,0,0,0,0,0,0,0,0,0,0,0,0,,
63,1665403130.0,0,0,0,0,0,0,0,0,0,0,0,0,,
64,1665403135.0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,1665403140.0,0,0,0,0,0,0,0,0,0,0,0,0,,
66,1665403145.0,0,0,0,0,0,0,0,0,0,0,0,0,,
67,1665403150.0,0,0,0,0,0,0,0,0,0,0,0,0,,
68,1665403155.0,0,0,0,0,0,0,0,0,0,0,0,0,,
69,1665403160.0,0,0,0,0,0,0,0,0,0,0,0,0,,
70,1665403165.0,0,1048576000,0,1000,0,0,0,0,0,1000,0,0,,
71,1665403170.0,0,1946157056,0,1856,0,0,0,0,0,1840,0,16,,
72,1665403175.0,0,150994944,0,144,0,0,0,0,0,120,0,24,,
73,1665403180.0,0,0,0,0,0,0,0,0,0,0,0,0,,
74,1665403185.0,0,0,0,0,0,0,0,0,0,0,0,0,,
75,1665403190.0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,1665403195.0,24,0,1,0,0,0,0,1,0,0,0,0,custom,end checkpoint medium
77,1665403200.0,48,0,2,0,0,0,0,2,0,0,0,0,custom,end checkpoint medium
78,1665403205.0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,1665403210.0,0,0,0,0,0,0,0,0,0,0,0,0,,
80,1665403215.0,0,0,0,0,0,0,0,0,0,0,0,0,,
81,1665403220.0,0,0,0,0,0,0,0,0,0,0,0,0,,
82,1665403225.0,0,0,0,0,0,0,0,0,0,0,0,0,,
83,1665403230.0,0,0,0,0,0,0,0,0,0,0,0,0,,
84,1665403235.0,0,0,0,0,0,0,0,0,0,0,0,0,,
85,1665403240.0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,1665403245.0,0,0,0,0,0,0,0,0,0,0,0,0,,
87,1665403250.0,0,0,0,0,0,0,0,0,0,0,0,0,,
88,1665403255.0,0,0,0,0,0,0,0,0,0,0,0,0,custom,start checkpoint big
89,1665403260.0,0,20971520,0,2,0,0,0,0,0,0,0,2,custom,start checkpoint big
90,1665403265.0,0,901775360,0,86,0,0,0,0,0,80,0,6,,
91,1665403270.0,0,230686720,0,22,0,0,0,0,0,0,0,22,,
92,1665403275.0,0,335544320,0,32,0,0,0,0,0,0,0,32,,
93,1665403280.0,0,1080033280,0,103,0,0,0,0,0,40,0,63,,
94,1665403285.0,0,1897922560,0,181,0,0,0,0,0,160,0,21,,
95,1665403290.0,0,2558525440,0,244,0,0,0,0,0,200,0,44,,
96,1665403295.0,0,4404019200,0,420,0,0,0,0,0,400,0,20,,
97,1665403300.0,0,4362076160,0,416,0,0,0,0,0,360,0,56,,
98,1665403305.0,0,4844421120,0,462,0,0,0,0,0,400,0,62,,
99,1665403310.0,0,3439329280,0,328,0,0,0,0,0,280,0,48,,
100,1665403315.0,9,1835008000,1,175,0,0,0,1,0,160,0,15,custom,end checkpoint big
101,1665403320.0,0,2464153600,0,235,0,0,0,0,0,200,0,35,,
102,1665403325.0,0,1646264320,0,157,0,0,0,0,0,120,0,37,,
103,1665403330.0,9,891289600,1,85,0,0,0,1,0,80,0,5,custom,end checkpoint big
104,1665403335.0,9,545259520,1,52,0,0,0,1,0,40,0,12,custom,end checkpoint big
105,1665403340.0,0,0,0,0,0,0,0,0,0,0,0,0,,
106,1665403345.0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,1665403350.0,0,0,0,0,0,0,0,0,0,0,0,0,,
108,1665403355.0,0,0,0,0,0,0,0,0,0,0,0,0,,
109,1665403360.0,0,0,0,0,0,0,0,0,0,0,0,0,,
110,1665403365.0,0,0,0,0,0,0,0,0,0,0,0,0,,
111,1665403370.0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,1665403375.0,0,0,1,0,0,0,0,1,0,0,0,0,,
113,1665403380.0,0,0,0,0,0,0,0,0,0,0,0,0,,
114,1665403385.0,0,0,0,0,0,0,0,0,0,0,0,0,,
115,1665403390.0,0,0,1,0,0,0,0,1,0,0,0,0,,
116,1665403395.0,0,0,2,0,0,0,0,2,0,0,0,0,,
